104775, 2432, 1668, 2996, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
104816, 2495, 1527, 2928, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
104857, 2498, 1513, 2959, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
104898, 2444, 1711, 2946, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
104939, 2473, 1547, 2927, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
104980, 2497, 1676, 2941, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105021, 2433, 1702, 2887, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105062, 2451, 1643, 2931, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105103, 2467, 1663, 2922, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105144, 2459, 1684, 2913, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105185, 2514, 1688, 2933, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105226, 2454, 1648, 2923, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105263, 2450, 1735, 2916, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105301, 2445, 1665, 2885, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105339, 2423, 1678, 2948, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105377, 2453, 1750, 2917, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105415, 2420, 1656, 2906, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105452, 2439, 1754, 2932, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105490, 2466, 1638, 2871, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105528, 2430, 1711, 2905, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105566, 2402, 1720, 2906, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105604, 2433, 1769, 2934, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105637, 2418, 1748, 2876, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105671, 2431, 1682, 2897, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105705, 2431, 1730, 2928, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105739, 2461, 1716, 2887, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105773, 2444, 1701, 2919, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105807, 2413, 1732, 2887, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105841, 2442, 1762, 2881, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105875, 2425, 1681, 2921, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105909, 2438, 1686, 2882, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105943, 2422, 1751, 2905, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
105977, 2420, 1724, 2892, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106016, 2432, 1760, 2899, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106055, 2435, 1727, 2875, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106094, 2426, 1785, 2889, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106133, 2435, 1666, 2871, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106172, 2432, 1709, 2925, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106211, 2420, 1721, 2905, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106250, 2410, 1772, 2887, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106289, 2423, 1734, 2890, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106328, 2426, 1777, 2848, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106368, 2475, 1768, 2857, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106408, 2448, 1717, 2881, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106449, 2432, 1698, 2907, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106489, 2434, 1741, 2875, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106530, 2435, 1759, 2868, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106571, 2429, 1716, 2883, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106611, 2440, 1765, 2896, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106652, 2425, 1724, 2883, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106692, 2417, 1736, 2882, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106733, 2419, 1779, 2879, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106774, 2439, 1764, 2867, 88, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106811, 2442, 1695, 2899, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106849, 2443, 1752, 2898, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106886, 2449, 1751, 2873, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106924, 2442, 1731, 2869, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106962, 2445, 1708, 2874, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
106999, 2449, 1740, 2877, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107037, 2462, 1780, 2882, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107075, 2457, 1692, 2832, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107112, 2428, 1778, 2901, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107150, 2420, 1774, 2874, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107188, 2436, 1755, 2870, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107227, 2426, 1731, 2884, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107267, 2422, 1727, 2894, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107307, 2435, 1773, 2861, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107346, 2432, 1738, 2871, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107386, 2432, 1765, 2874, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107426, 2419, 1720, 2868, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107465, 2428, 1744, 2900, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107505, 2432, 1760, 2870, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107545, 2441, 1737, 2878, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107585, 2412, 1764, 2893, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107620, 2428, 1738, 2881, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107655, 2421, 1732, 2873, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107690, 2458, 1755, 2892, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107725, 2423, 1728, 2862, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107760, 2429, 1718, 2898, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107795, 2440, 1758, 2887, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107830, 2421, 1739, 2878, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107865, 2421, 1762, 2887, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107900, 2420, 1721, 2872, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107935, 2436, 1739, 2885, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107971, 2435, 1766, 2882, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
108010, 2443, 1744, 2871, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
108049, 2440, 1748, 2894, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
108088, 2410, 1782, 2889, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
108127, 2412, 1800, 2955, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
